Atom,q(N),q(N+1),f+,q(N)/f+,q(N+1)/f+
C,-0.052111168,-0.0616800921,0.0095689241,-5.445875362309541,-6.445875362309541
C,-0.0545878063,-0.064243996,0.009656189699999998,-5.65314145599273,-6.65314145599273
C,-0.007072103,-0.009368099,0.002295996,-3.080189599633449,-4.080189599633449
H,0.0280378344,0.0184927302,0.009545104199999998,2.9374047482897048,1.937404748289705
H,0.0282367892,0.0194951758,0.0087416134,3.2301576274237886,2.2301576274237886
C,-0.0534305392,-0.0579055926,0.004475053399999998,-11.939642820798523,-12.939642820798523
H,0.0131535859,0.0039079366,0.0092456493,1.4226784375219597,0.42267843752195966
H,0.0255822877,0.0159878058,0.0095944819,2.666354261401025,1.6663542614010247
H,0.0229123913,0.0115468144,0.0113655769,2.0159461769160174,1.0159461769160174
H,0.0284759195,0.0209386344,0.007537285099999999,3.7780074817655502,2.7780074817655502
C,0.1775992735,0.1673878678,0.010211405699999981,17.392245369312896,16.392245369312896
C,0.1739316962,0.163646323,0.010285373200000003,16.910586793292048,15.910586793292048
O,-0.2828376208,-0.314234953,0.03139733219999996,-9.008332905430748,-10.008332905430748
O,-0.2712568015,-0.2798883038,0.008631502300000038,-31.426371919057335,-32.42637191905733
O,-0.2856522462,-0.3175456133,0.03189336709999996,-8.956478170033053,-9.956478170033053
O,-0.2728514951,-0.2816886777,0.008837182599999993,-30.87539405375648,-31.87539405375648
Pt,0.2198228228,0.1139333201,0.10588950270000001,2.075964257031117,1.0759642570311172
N,-0.1220239088,-0.1548982579,0.032874349100000005,-3.7118273712071757,-4.711827371207176
N,-0.1216574517,-0.1543669129,0.032709461199999984,-3.7193352393099053,-4.719335239309905
H,0.1332344714,0.0774791734,0.055755297999999995,2.389628899481445,1.389628899481445
H,0.134566936,-9.03538e-05,0.1346572898,0.9993290092193732,-0.0006709907806268651
H,0.1330916207,0.0772141451,0.05587747559999999,2.3818474129493428,1.3818474129493428
H,0.135281564,0.0034819042,0.1317996598,1.026418157719706,0.026418157719706042
H,0.1343788375,-0.0010057087,0.13538454619999998,0.9925714660333957,-0.0074285339666042335
H,0.1351751107,0.0034047304,0.1317703803,1.0258383590625488,0.02583835906254875
