Molecule,Count
CHEMBL1743583-conf_1.xyz,6
CHEMBL1743583-conf_2.xyz,6
CHEMBL1743583.xyz,6
CHEMBL1743593-conf_1.xyz,6
CHEMBL1743593-conf_10.xyz,6
CHEMBL1743593-conf_2.xyz,6
CHEMBL1743593-conf_3.xyz,6
CHEMBL1743593-conf_4.xyz,6
CHEMBL1743593-conf_5.xyz,6
CHEMBL1743593-conf_6.xyz,6
CHEMBL1743593-conf_7.xyz,6
CHEMBL1743593-conf_8.xyz,6
CHEMBL1743593-conf_9.xyz,6
CHEMBL1743593.xyz,6
CHEMBL1743594-conf_1.xyz,6
CHEMBL1743594-conf_10.xyz,6
CHEMBL1743594-conf_2.xyz,6
CHEMBL1743594-conf_3.xyz,6
CHEMBL1743594-conf_4.xyz,6
CHEMBL1743594-conf_5.xyz,6
CHEMBL1743594-conf_6.xyz,6
CHEMBL1743594-conf_7.xyz,6
CHEMBL1743594-conf_8.xyz,6
CHEMBL1743594-conf_9.xyz,6
CHEMBL1743594.xyz,6
CHEMBL2068442-conf_1.xyz,1
CHEMBL2068442-conf_2.xyz,1
CHEMBL2068442-conf_3.xyz,1
CHEMBL2068442.xyz,1
CHEMBL611190-conf_1.xyz,3
CHEMBL611190-conf_10.xyz,3
CHEMBL611190-conf_2.xyz,3
CHEMBL611190-conf_3.xyz,3
CHEMBL611190-conf_4.xyz,3
CHEMBL611190-conf_5.xyz,3
CHEMBL611190-conf_6.xyz,3
CHEMBL611190-conf_7.xyz,3
CHEMBL611190-conf_8.xyz,3
CHEMBL611190-conf_9.xyz,3
CHEMBL611190.xyz,3
carboplatin-conf_1.xyz,1
carboplatin.xyz,1
cisplatin-conf_1.xyz,1
cisplatin-conf_2.xyz,1
cisplatin.xyz,1
imifoplatin-conf_1.xyz,1
imifoplatin-conf_2.xyz,1
imifoplatin-conf_3.xyz,1
imifoplatin.xyz,1
iproplatin-conf_1.xyz,1
iproplatin-conf_10.xyz,1
iproplatin-conf_2.xyz,1
iproplatin-conf_3.xyz,1
iproplatin-conf_4.xyz,1
iproplatin-conf_5.xyz,1
iproplatin-conf_6.xyz,1
iproplatin-conf_7.xyz,1
iproplatin-conf_8.xyz,1
iproplatin-conf_9.xyz,1
iproplatin.xyz,1
lobaplatin-conf_1.xyz,1
lobaplatin-conf_2.xyz,1
lobaplatin-conf_3.xyz,1
lobaplatin-conf_4.xyz,1
lobaplatin-conf_5.xyz,1
lobaplatin-conf_6.xyz,1
lobaplatin-conf_7.xyz,1
lobaplatin.xyz,1
nedaplatin-conf_1.xyz,1
nedaplatin.xyz,1
oxaliplatin-conf_1.xyz,1
oxaliplatin-conf_2.xyz,1
oxaliplatin-conf_3.xyz,1
oxaliplatin.xyz,1
picoplatin-conf_1.xyz,1
picoplatin-conf_2.xyz,1
picoplatin.xyz,1
satraplatin-conf_1.xyz,1
satraplatin-conf_10.xyz,1
satraplatin-conf_2.xyz,1
satraplatin-conf_3.xyz,1
satraplatin-conf_4.xyz,1
satraplatin-conf_5.xyz,1
satraplatin-conf_6.xyz,1
satraplatin-conf_7.xyz,1
satraplatin-conf_8.xyz,1
satraplatin-conf_9.xyz,1
satraplatin.xyz,1
