Molecule ChEMBL ID,Molecule Name,Compound Key,IC50
CHEMBL361029,camphorato platinum complex derivative,2b,188.8
CHEMBL286548,Platinum complex,1b,58.2
CHEMBL2068304,triphenylethylene platinum (II) complex,1Ba,64.0
CHEMBL441330,"(2,2':6',2''-terpyridine)platinum (II) complex",4 (NMe(CH2CH2OH)),100.0
CHEMBL103847,Trans-Amminedichloro(diethylamine)platinium (II),7,50.0
CHEMBL34295,Platinum complex,1d,316.2
CHEMBL285449,Platinum complex,1a,60.4
CHEMBL6513,Platinum complex,2 (3-F-C5H4N),100.0
CHEMBL415294,"(2,2':6',2''-terpyridine)platinum (II) complex",2 (C5H4N),100.0
CHEMBL191157,camphorato platinum complex derivative,2a,122.2
CHEMBL2068257,platinum complex,9b,67.4
CHEMBL2068529,platinum complex,6d,52.1
CHEMBL177971,Cis-Platinum (II) Conjugate,7,126.8
CHEMBL2146200,Platinum complex,Cipa,65.0
CHEMBL175535,Cis-Platinum (II) Conjugate,8,952.2
CHEMBL1794812,Platinum complex,4b,200000.0
CHEMBL38376,Platinum complex,1c,109.8
CHEMBL440148,"3-(7a-Chloro-7-diisopropylamino-hexahydro-6-oxa-1,3a-diaza-platinum-7lambda*5*-phospha-inden-7-yloxy)-propionitrile",22,125.0
CHEMBL2068444,triphenylethylene platinum (II) complex,1Bb,56.0
CHEMBL2068294,triphenylethylene platinum (II) complex,1Cc,67.0
CHEMBL177920,Cis-Platinum (II) Conjugate,6,66.0
CHEMBL34701,Platinum complex,1f,119.0
CHEMBL2068253,platinum complex,9a,92.2
CHEMBL2068256,Platinum complex,6b,123.8
CHEMBL175844,Cis-Platinum (II) Conjugate,9,135.9
CHEMBL33911,Platinum complex,1g,85.2
CHEMBL2068520,platinum complex,6a,54.3
CHEMBL1743585,Platinum complex,5b,200000.0
CHEMBL308922,3-Acetamido-6-Aminocoumarin Platinum (II) Complex,3c,130.2
CHEMBL2068254,Platinum complex,6c,55.5
CHEMBL308885,7-Amino-4-Methyl-Coumarin Platinum (II) Complex,3e,163.3
